question,q_len_chars,q_len_words,q_wh_type
When did the founder of Jehovah's Witnesses say the world would end?,68,12,year
In what year were US ground troops first dispatched to Vietnam?,63,11,year
In which year was CNN founded?,30,6,which
In which year was Bloody Sunday in Londonderry?,47,8,which
In the 90s how many points have been awarded for finishing first in a Grand Prix?,81,16,quantity
How many years did Robinson Crusoe spend shipwrecked on his island?,67,11,age
In which year did Alcock and Brown make their Atlantic crossing?,64,11,which
How old would Rocky Marciano have been had he lived to the end of the 20th century?,83,17,age
How old would James Dean have been had he lived to the end of the 20th century?,79,17,age
In square miles how big is lake Michigan?,41,8,area
In what year were women first admitted to Harvard?,50,9,year
How old was Ronald Reagan when he became US President?,54,10,age
When was the Scrabble World championship first held?,52,8,year
What year was the centenary of Arkansas joining the Union?,58,10,year
In which year was the talkie The Jazz Singer released?,54,10,which
When she died how old was Karen Carpenter?,42,8,age
In what year was Oliver Stone born?,35,7,year
In which year was Nigel Mansell Indy Car Champion?,50,9,which
Which year was the first after 1927 that the USA lost the Ryder Cup on home soil?,81,17,which
In what year was the first performance of Copland's ballet Rodeo?,65,11,year
How many 'victories' did The Red Baron claim in aerial dogfights?,65,11,quantity
In what year did Saddam Hussein become President of Iraq?,57,10,year
How old was George Gershwin when he died?,41,8,age
According to the series when was the Cheers bar founded?,56,10,when
In which year did Tanganyika and Zanzibar merge to form Tanzania?,65,11,which
When did field hockey become an Olympic event for men?,54,10,year
"How old was Harry Stevens when he married at the Caravilla Retirement Home, Wisconsin in 1984?",94,16,age
In which year did Count Basie die?,34,7,which
In which year was the University of Alaska Anchorage founded?,61,10,which
How many years after men's field hockey became an Olympic sport did the women's game become an Olympic event?,109,19,age
In what year of the 1990s was baseball's World Series canceled?,63,11,year
How old was Laurel and Hardy producer Hal Roach when he died in 1992?,69,14,age
Which Apollo mission was filmed in 1995 with Tom Hanks?,55,10,which
In what year does Demolition Man take place?,44,8,year
How many different hats does Madonna wear in Evita?,51,9,quantity
In what year was the Kellogg Company set up to manufacture cornflakes?,70,12,year
"To the nearest million, what was the population of the USA in 1910?",67,13,what
In what year did regular Boeing 707 flights begin across he Atlantic?,69,12,year
In what year did the New York subway open?,42,9,year
How many prisoners were left in Alcatraz just before it closed?,63,11,quantity
The Fabulous Cullinan diamond was cut into how many separate gems?,66,11,quantity
Gunn-toting Wyatt Earp survived to what age?,44,7,what
How many 'points for peace' did President Wilson announce in 1918?,66,11,quantity
How many races did Ed Moses win in succession between '77 and '87?,66,13,quantity
In what year was indoor handball introduced as an Olympic event for men?,72,13,year
What year was the centenary of Colorado joining the Union?,58,10,year
How old was Dodi Fayed at the time of his death in 1997?,56,13,age
"To the nearest million, how mjch did Heavan's Gate lose for United Artists?",75,13,other
How old was Douglas Fairbanks when he married 23-year-old Joan Crawford?,72,11,age
How old was Orson Welles when he made Citizen Kane?,51,10,age
"When did Euro Disney, now Disneyland Paris, open?",49,8,year
How many years did the Holocaust last?,38,7,age
"In square miles, how big is lake Superior?",42,8,area
In what year was the first woman elected to the US Senate?,58,12,year
How many Gilbert & Sullivan operas are there?,45,8,quantity
In which year did Britain's lease on Hong Kong officially expire?,65,11,which
"Is the Great Wall of China 650, 1,450 or 2,050 miles long?",58,12,other
In which year were East and West Germany unified?,49,9,which
What year saw the nationalization of British Railways?,54,8,year
In which year did the Japanese attack Pearl Harbor?,51,9,which
In which year did the Korean War break out?,43,9,which
"In which year was Ulster incorporated into the UK, under the Home Rule Act?",75,14,which
In what year did the Representation of the People Act give the vote to all women over 21?,89,18,year
How old must you be to vote in a British parliamentary election?,64,12,age
In which year did Mikhail Gorbachev resign as Soviet president?,63,10,which
How many countries are there in the British Commonwealth?,57,9,quantity
When was the first Pioneer space probe launched?,48,8,year
After how many years of marriage would you celebrate your ruby anniversary?,75,12,age
How many counters does each player have at the start of a game of backgammon?,77,15,quantity
"How many centimetres make up a hand, the measurement used on horses?",68,12,quantity
In what year did the weather forecast appear in The Times newspaper for the first time?,87,16,year
In what year did Percy L. Spencer invent the microwave?,55,10,year
When was the nobel prize for literature first awarded?,54,9,year
In what year was highwayman Dick Turpin hanged?,47,8,year
Chemically pure gold contains how many carats?,46,7,quantity
What is the boiling point of water in degrees Fahrenheit?,57,10,what
In what year was Albert Einstein born?,38,7,year
How many housing property squares are there on a Monopoly board?,64,11,quantity
"On a football pitch, how many yards should the penalty spot be from the goal line?",82,16,quantity
In what year was the first World Cup held?,42,9,year
What was the number on the back of the jersey that both Maradona and Pele said was lucky?,89,18,what
In what year was the first penalty scored in an FA Cup final?,61,13,year
The Beatles' last live performance was at Candlestick Park in San Francisco. In what year was this?,99,17,year
"When women first got the vote in Britain in 1918, how old did they have to be?",78,17,age
For how many years did Louis XIV of France reign?,49,10,age
How many players in total get down in a normal rugby union scrum?,65,13,quantity
In what year was the first World Snooker Championship held?,59,10,year
In what year did Agatha Christie die?,37,7,year
In which year was British Prime Minister Spencer Perceval assasinated?,70,10,which
In what year did Sir Frederick Banting and J. J. R. MacLeod discover insulin?,77,14,year
How many yards are in a furlong?,32,7,quantity
What is the atomic number of the element Californium?,53,9,what
In which year was the film studio Paramount opened?,51,9,which
What 1948 novel was originally going to be called The Last Man in Europe?,73,14,what
How many black keys are there on the a standard piano?,54,11,quantity
In what year was the first Christmas card produced?,51,9,year
How many pieces does each player have in backgammon?,52,9,quantity
In what year did the Japanese bomb Pearl Harbour?,49,9,year
How many times has Bob Hope hosted the Oscars ceremony?,55,10,quantity
In what year was the first English translation of the Bible completed?,70,12,year
How many UK top 40 hits did Prince have in the 1980s?,53,12,quantity
In what year did Bugs Bunny make his debut?,43,9,year
How many own goals were scored in the 2001/02 Premiership season?,65,11,quantity
In what year was Mary Poppins written?,38,7,year
How many hurdles must a runner jump over in the 110m men's hurdles race?,72,14,quantity
How many kilometres long is the walk - the longest race in men's athletics?,75,14,quantity
What is Sir Donald Bradman's test cricket batting average?,58,9,what
"According to the Highway Code, passengers of what age and above are responsible for themselves wearing a seatbelt?",114,18,what
In which year did Czechoslovakia become the first country to make seat belts compulsory?,88,14,which
In which year did California become one of the United States of America?,72,13,which
"In which year did Charles, Duke of Orleans, send the first known Valentine's card?",82,14,which
"How many different ways are there to make change of a dollar? 111, 293 or 487?",78,16,quantity
How many teaspoons are there in a cup?,38,8,quantity
"In degrees centigrade, what is the normal body temperature?",59,9,what
How many bones are there in a normal human hand?,48,10,quantity
In what year was the best foreign film category introduced to the Academy Awards?,81,14,year
How many points would the word Scrabble score in the game of Scrabble?,70,13,quantity
In which year were red and yellow cards first used in the English leagues?,74,14,which
In which year was actor Sean Connery born?,42,8,which
In which year did Superman appear in comics for the first time?,63,12,which
"On a darts board, which number is directly opposite 1?",54,10,which
"In cricket, how many runs is a double nelson?",45,9,quantity
"In centimetres, how high is a table tennis table?",49,9,other
In which year was Wuthering Heights by Emily Bronte first published?,68,11,which
How many points would you get for the word Scrabble in a game of Scrabble?,74,15,quantity
