confidence_col,error_col,n_all,pearson_all,spearman_all,n_wrong_only,pearson_wrong_only,spearman_wrong_only,score_type,expected_direction,effect_all,effect_wrong_only,direction_all,direction_wrong_only,interpretation_all,interpretation_wrong_only
confidence_verbalized,abs_error,3395,-0.042456858117856,-0.2701876165781183,463,-0.0300270366744957,-0.1319581155537888,model_confidence,negative,faible à modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
confidence_verbalized,log1p_abs_error,3395,-0.2841302935516849,-0.2701876165781183,463,-0.1194299302233557,-0.1319581155537888,model_confidence,negative,faible à modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
confidence_verbalized,log_error,3395,-0.1269685877117748,-0.2643583351518384,463,-0.0536703302735581,0.1428345955746409,model_confidence,negative,faible à modéré,faible,sens attendu,sens opposé,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible mais dans le sens opposé à celui attendu."
confidence_verbalized,rel_error,3395,-0.0441670633692012,-0.2614654723377632,463,-0.0357924732092463,0.156776063312211,model_confidence,negative,faible à modéré,faible,sens attendu,sens opposé,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible mais dans le sens opposé à celui attendu."
judge_confidence,abs_error,3391,-0.0150417025394161,-0.266805376735886,460,-0.006304701184163,-0.032684746895914,judge_confidence,negative,faible à modéré,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
judge_confidence,log1p_abs_error,3391,-0.1625686647452694,-0.266805376735886,460,-0.1254263174339877,-0.032684746895914,judge_confidence,negative,faible à modéré,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
judge_confidence,log_error,3391,-0.111471600875548,-0.2651853748113431,460,-0.1292131749092423,0.0379221076233665,judge_confidence,negative,faible à modéré,quasi nul,sens attendu,sens opposé,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul mais dans le sens opposé à celui attendu."
judge_confidence,rel_error,3391,-0.0170575637620369,-0.2638977567211706,460,-0.0122066611614739,0.0473763852669692,judge_confidence,negative,faible à modéré,quasi nul,sens attendu,sens opposé,"Sur l’ensemble des réponses, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul mais dans le sens opposé à celui attendu."
prob_all_tokens.logprob_avg,abs_error,3395,-0.0181712120674251,-0.1568575145031675,463,-0.0050598822591293,-0.0472827267680267,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_avg,log1p_abs_error,3395,-0.1569845940833472,-0.1568575145031675,463,-0.0119488584296149,-0.0472827267680267,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_avg,log_error,3395,-0.0635455633329405,-0.1589930143588418,463,-0.0031884983478326,-0.0399895670636086,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_avg,rel_error,3395,-0.0215586407560982,-0.1555582092491495,463,-0.0129724036889915,-0.0215794817097725,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_sum,abs_error,3395,-0.0247553171240931,-0.1528965010165154,463,-0.0163637347698825,-0.0436053735402911,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_sum,log1p_abs_error,3395,-0.1523802371863882,-0.1528965010165154,463,-0.0135275467018057,-0.0436053735402911,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_sum,log_error,3395,-0.0620831892605208,-0.1545787057186447,463,-0.0043458090783407,-0.0212241812660316,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.logprob_sum,rel_error,3395,-0.0283076062053272,-0.1511677681063874,463,-0.0241704904892701,-0.0032464316454498,sequence_logscore,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.p_min,abs_error,3395,-0.0110955551604727,-0.1178062528281838,463,-0.0067186820784357,-0.0026480066352781,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.p_min,log1p_abs_error,3395,-0.0880270867243487,-0.1178062528281838,463,-0.0099011704618485,-0.0026480066352781,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
