question,answer_true,answer_model,confidence_verbalized,prob_all_tokens.n_tokens,prob_all_tokens.logprob_sum,prob_all_tokens.logprob_avg,prob_all_tokens.prob_joint,prob_all_tokens.prob_geo_mean,prob_all_tokens.perplexity,prob_all_tokens.p_min,prob_all_tokens.frac_p_gt_0_1,prob_all_tokens.frac_p_gt_0_01,prob_tokens_only.n_tokens,prob_tokens_only.logprob_sum,prob_tokens_only.logprob_avg,prob_tokens_only.prob_joint,prob_tokens_only.prob_geo_mean,prob_tokens_only.perplexity,prob_tokens_only.p_min,prob_tokens_only.frac_p_gt_0_1,prob_tokens_only.frac_p_gt_0_01,judge_confidence,abs_error,rel_error,log_error,qid,model_answer_raw,parse_error,model,logprobs_k,judge,is_correct,log1p_abs_error
When did the founder of Jehovah's Witnesses say the world would end?,1914.0,1914.0,0.95,29.0,-0.31043368260343196,-0.01070460974494593,0.7331289420024368,0.9893524806980556,1.0107621090659538,0.7340456418088317,1.0,1.0,4.0,3.498556958e-06,8.746392395e-07,1.0,1.0,0.999999125361143,1.0000000353902587,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
In what year were US ground troops first dispatched to Vietnam?,1965.0,1965.0,0.95,29.0,-0.1756423368327,-0.006056632304575862,0.8389179797467841,0.9939616721198271,1.0060750107871814,0.8390455694375112,1.0,1.0,4.0,3.9394945e-06,9.84873625e-07,1.0,1.0,0.99999901512686,0.9999999050051045,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
In which year was CNN founded?,1980.0,1980.0,0.99,29.0,-0.7055380487045599,-0.024328898231191724,0.49384279128635444,0.9759646639134314,1.024627260571291,0.49984999778513833,1.0,1.0,4.0,-9.387731500000001e-07,-2.3469328750000003e-07,0.9999990612272907,0.9999997653067401,1.000000234693315,0.9999971278053248,1.0,1.0,0.6,0.0,0.0,0.0,,,,,,,1,0.0
In which year was Bloody Sunday in Londonderry?,1972.0,1972.0,0.99,29.0,-0.08811090630770001,-0.003038307114058621,0.915659318697569,0.9969663038699571,1.0030429274472636,0.942988293999462,1.0,1.0,4.0,2.0116550000000008e-07,5.029137500000002e-08,1.0,1.0,0.9999999497086263,0.9999970812392596,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In the 90s how many points have been awarded for finishing first in a Grand Prix?,10.0,10.0,0.95,27.0,-0.150357366765666,-0.005568791361691333,0.8604004429537339,0.9944466856142463,1.0055843259031263,0.9024414556184721,1.0,1.0,2.0,6.23986124e-07,3.11993062e-07,1.0,1.0,0.9999996880069867,1.0000000810250673,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
How many years did Robinson Crusoe spend shipwrecked on his island?,24.0,28.0,0.99,27.0,-0.924254102281,-0.034231633417814815,0.39682730129120963,0.9663476403045562,1.034824278853558,0.3987028804563629,1.0,1.0,2.0,1.7639249e-06,8.8196245e-07,1.0,1.0,0.999999118037939,1.000000268220936,1.0,1.0,0.95,4.0,0.16666666666666666,0.14842000511827358,,,,,,,0,1.6094379124341003
In which year did Alcock and Brown make their Atlantic crossing?,1919.0,1919.0,0.98,29.0,-0.4778953627852,-0.016479150440868964,0.6200870777722137,0.983655887968475,1.0166156805763449,0.6239343527957423,1.0,1.0,4.0,6.6561625e-06,1.664040625e-06,1.0,1.0,0.9999983359607595,1.0000002393499285,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How old would Rocky Marciano have been had he lived to the end of the 20th century?,76.0,76.0,0.95,27.0,-0.27524497272129,-0.010194258248936668,0.7593860715646472,0.9898575270812869,1.0102463967199597,0.7606839623148972,1.0,1.0,2.0,-4.4703483000000005e-07,-2.2351741500000003e-07,0.9999995529652699,0.99999977648261,1.00000022351744,0.9999990942892102,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How old would James Dean have been had he lived to the end of the 20th century?,68.0,69.0,0.95,27.0,-0.18622564537882003,-0.006897246125141482,0.8300862687175166,0.9931264852851095,1.0069210869075929,0.8433591531617678,1.0,1.0,2.0,-0.0123212667649,-0.00616063338245,0.987754329244384,0.9938583044098309,1.0061796491138806,0.9877529728264003,1.0,1.0,0.95,1.0,0.014705882352941176,0.014388737452099676,,,,,,,0,0.6931471805599453
In square miles how big is lake Michigan?,22300.0,22404.0,0.95,30.0,-0.23899864170723698,-0.007966621390241232,0.7874159519133506,0.9920650280358474,1.007998439356201,0.8657768522583523,1.0,1.0,5.0,-0.0078779330266,-0.00157558660532,0.9921530165615311,0.9984256539796202,1.0015768284940443,0.9921619499739018,1.0,1.0,0.95,104.0,0.004663677130044843,0.00465262772812558,,,,,,,0,4.653960350157523
In what year were women first admitted to Harvard?,1969.0,1879.0,0.95,29.0,-0.9781813141334,-0.033730390142531035,0.3759942929118375,0.9668321369760506,1.0343057101180855,0.5583800250122507,1.0,1.0,4.0,-0.39303049178633,-0.0982576229465825,0.6750081650675956,0.9064153602761912,1.1032469702359113,0.6750045009889915,1.0,1.0,0.95,90.0,0.0457084814626714,0.046761765908039266,,,,,,,0,4.51085950651685
How old was Ronald Reagan when he became US President?,69.0,69.0,0.99,27.0,-0.119736568951509,-0.004434687738944777,0.8871541098747612,0.9955751309690626,1.00444453551851,0.9178466318688476,1.0,1.0,2.0,3.8738362e-06,1.9369181e-06,1.0,1.0,0.9999980630837758,1.000001505949734,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
When was the Scrabble World championship first held?,1991.0,1991.0,0.95,29.0,-0.32172355438708,-0.01109391566852,0.7248985576593692,0.9889673948797758,1.011155681347377,0.7270313136175016,1.0,1.0,4.0,2.0335428599999997e-06,5.083857149999999e-07,1.0,1.0,0.9999994916144143,0.9999994644896434,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
What year was the centenary of Arkansas joining the Union?,1936.0,1936.0,0.95,29.0,-1.45520710429518,-0.05017955532052345,0.23335203068847157,0.9510586415294608,1.0514598746422548,0.24258888492238728,1.0,1.0,4.0,4.26871695e-06,1.0671792375e-06,1.0,1.0,0.9999989328213319,1.000000814907582,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In which year was the talkie The Jazz Singer released?,1927.0,1927.0,0.99,29.0,-0.28674663161206004,-0.009887814883174485,0.750701908875721,0.9901609088357995,1.0099368608439299,0.7559064151116616,1.0,1.0,4.0,5.111913200000001e-06,1.2779783000000001e-06,1.0,1.0,0.9999987220225166,0.9999992530795789,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
When she died how old was Karen Carpenter?,32.0,32.0,0.99,27.0,-0.11487359352848,-0.004254577538091852,0.8914788254776048,0.9957544603549067,1.0042636411024262,0.9069288929598421,1.0,1.0,2.0,2.7844217e-06,1.39221085e-06,1.0,1.0,0.9999986077901192,1.0000011811505976,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In what year was Oliver Stone born?,1946.0,1946.0,1.0,28.0,-0.18550769869385,-0.006625274953351786,0.8306824403865102,0.9933966237923259,1.0066472706364409,0.8354908019865892,1.0,1.0,4.0,8.422881239999999e-06,2.1057203099999998e-06,1.0,1.0,0.999997894281907,1.0000001750886554,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In which year was Nigel Mansell Indy Car Champion?,1993.0,1993.0,0.99,29.0,-0.8253136552296749,-0.028459091559643962,0.43809755932217476,0.9719420539664191,1.028867920591643,0.46194640551884825,1.0,1.0,4.0,-3.5595148750000002e-06,-8.898787187500001e-07,0.9999964404914601,0.9999991101216772,1.0000008898791146,0.9999976884600716,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
Which year was the first after 1927 that the USA lost the Ryder Cup on home soil?,1987.0,1957.0,0.95,29.0,-0.07717316653384,-0.00266114367358069,0.9257295343511942,0.9973423940304363,1.0026646876593943,0.9537998503659726,1.0,1.0,4.0,-0.0281500764649,-0.007037519116225,0.9722424451426247,0.99298718623267,1.0070623406470491,0.9829391255157485,1.0,1.0,0.95,30.0,0.01509813789632612,0.015205564126063997,,,,,,,0,3.4339872044851463
In what year was the first performance of Copland's ballet Rodeo?,1942.0,1942.0,0.9,28.0,-1.869785410443913,-0.0667780503729969,0.15415673869215207,0.9354027905992158,1.0690581747777377,0.15419315642478582,1.0,1.0,4.0,-4.181172713e-06,-1.04529317825e-06,0.9999958188360281,0.9999989547073681,1.0000010452937245,0.9999969042885917,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
How many 'victories' did The Red Baron claim in aerial dogfights?,80.0,80.0,0.95,27.0,-0.5356873372248899,-0.019840271749069997,0.5852668761531034,0.9803552512310326,1.0200383980646806,0.5882284124297663,1.0,1.0,2.0,5.0753588e-06,2.5376794e-06,1.0,1.0,0.9999974623238199,1.000001180568497,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In what year did Saddam Hussein become President of Iraq?,1979.0,1979.0,0.99,29.0,-1.80460714834379,-0.06222783270151,0.1645390833333584,0.9396687751256341,1.0642047777593755,0.1679261969449857,1.0,1.0,4.0,8.810312500000002e-07,2.2025781250000005e-07,1.0,1.0,0.9999997797422118,0.999997092415227,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How old was George Gershwin when he died?,38.0,38.0,0.95,27.0,-0.19428423742137,-0.007195712497087777,0.8234238231386609,0.9928301146566959,1.007221663845061,0.8253744803996952,1.0,1.0,2.0,2.01119115e-06,1.005595575e-06,1.0,1.0,0.9999989944049306,1.000000682659683,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
According to the series when was the Cheers bar founded?,1895.0,1889.0,0.9,28.0,-0.551667340373009,-0.01970240501332175,0.5759886401900444,0.9804904189267438,1.0198977783940117,0.6612863934305783,1.0,1.0,4.0,-0.001914177687,-0.00047854442175,0.9980876531827191,0.9995215700623692,1.0004786589423988,0.998316206773102,1.0,1.0,0.8,6.0,0.0031662269129287598,0.0031695747612783265,,,,,,,0,1.9459101490553132
In which year did Tanganyika and Zanzibar merge to form Tanzania?,1964.0,1964.0,1.0,28.0,-1.79297213676498,-0.06403471917017786,0.1664646779078709,0.9379724333408619,1.0661294132474757,0.16700209862960505,1.0,1.0,4.0,5.5594134e-07,1.38985335e-07,1.0,1.0,0.9999998610146746,0.9999971911350448,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
When did field hockey become an Olympic event for men?,1908.0,1908.0,0.95,29.0,-0.236830851902843,-0.008166581100098035,0.7891247556802337,0.9918666748326677,1.0082000185848612,0.7937264885010648,1.0,1.0,4.0,2.7341338870000004e-06,6.835334717500001e-07,1.0,1.0,0.9999993164667619,0.9999970011457966,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
"How old was Harry Stevens when he married at the Caravilla Retirement Home, Wisconsin in 1984?",104.0,,,,,,,,,,,,,,,,,,,,,,,,,26.0,"```json
{
  ""answer"": null,
  ""confidence"": 0.0
}
```",Answer not numeric: None,gemini-2.0-flash,1.0,{'error': 'missing_or_non_numeric_answer_model'},0,
In which year did Count Basie die?,1984.0,1984.0,0.95,29.0,-0.13127259600719,-0.004526641241627241,0.8769786809177521,0.9954835885574737,1.0045369019584451,0.8780695713909041,1.0,1.0,4.0,5.1604584600000005e-06,1.2901146150000001e-06,1.0,1.0,0.9999987098862172,0.9999996880069887,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
In which year was the University of Alaska Anchorage founded?,1954.0,1954.0,0.9,28.0,-0.25193582366918,-0.008997707988185,0.7772946203849994,0.9910426502517441,1.0090383090434913,0.7952041061369486,1.0,1.0,4.0,-3.9702281999999995e-06,-9.925570499999999e-07,0.9999960297796814,0.9999990074434426,1.0000009925575426,0.9999970886898378,1.0,1.0,0.8,0.0,0.0,0.0,,,,,,,1,0.0
How many years after men's field hockey became an Olympic sport did the women's game become an Olympic event?,72.0,84.0,0.9,26.0,-1.507616466575662,-0.05798524871444854,0.22143715229485542,0.9436638675893037,1.0596993636670793,0.3296638434224997,1.0,1.0,2.0,-1.10992520767,-0.554962603835,0.329583610479542,0.574093729698855,1.741875844079602,0.3296638434224997,1.0,1.0,,12.0,0.16666666666666666,0.15219181534192572,,,,,,,0,2.5649493574615367
In what year of the 1990s was baseball's World Series canceled?,1994.0,1994.0,0.98,29.0,-3.31414863657067,-0.11428098746795413,0.0363649952290928,0.8920072777989723,1.1210670864339805,0.04132428240897181,0.9655172413793104,1.0,4.0,2.2314488e-06,5.578622e-07,1.0,1.0,0.9999994421379556,0.9999981448071209,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
