dataset,score,n,auc,ece,brier,spearman_conf_vs_truth
TriviaQA-num,confidence_verbalized,3395,0.7119217177530612,0.07655964653902791,0.10089366715758469,0.2701876165781184
TriviaQA-num,epr,3395,0.6926485835225162,,,0.23145839470986276
TriviaQA-num,p_min_all,3395,0.5845975402577369,0.23945564968483996,0.21113170518231322,0.11780625282818379
TriviaQA-num,p_min_seq,3395,0.8528212763168729,0.0969849080898522,0.09871585219408786,0.4149005307398674
TriviaQA-num,perplexity_all,3395,0.622039378057244,,,0.1568575145031675
TriviaQA-num,perplexity_seq,3395,0.8655875537511993,,,0.4256412639971715
TriviaQA-num,prob_geo_mean_all,3395,0.622039378057244,0.09520550886496937,0.10971696292675125,0.1568575145031675
TriviaQA-num,prob_geo_mean_seq,3395,0.8585526371065176,0.10319293256005725,0.10247880761116233,0.4931175155486176
TriviaQA-num,prob_joint_all,3395,0.617409927357113,0.25811644396909816,0.21557780804716728,0.1528965010165155
TriviaQA-num,prob_joint_seq,3395,0.8572881501185509,0.09645815161282521,0.09790667159788032,0.49252705793883556
TriviaQA-num,semantic_entropy,3395,0.6478794427183193,,,0.42617982608526495
TriviaQA-num,wepr,3395,0.6408046170158779,0.029772963958774455,0.10021292958936634,0.17883977575747342
TriviaQA-WEPR,epr,73793,0.6559805902063396,,,
TriviaQA-WEPR,logprob_mean_seq,73793,0.6332436179546186,,,
TriviaQA-WEPR,p_min_seq,73793,0.6216347045720283,0.2967945951529027,0.27136359528665677,
TriviaQA-WEPR,perplexity_seq,73793,0.6332436179546186,,,
TriviaQA-WEPR,prob_geo_mean_seq,73793,0.6332436179546186,0.07389895368939979,0.1311112493769378,
TriviaQA-WEPR,prob_joint_seq,73793,0.6384170047458282,0.3837167751984954,0.3475733461002995,
TriviaQA-WEPR,wepr,73793,0.6812772571820237,0.009401239162302078,0.11878112688287273,
ELI5,epr,100,0.6578590785907859,,,
ELI5,judge_accuracy_5,100,1.0,,,
ELI5,judge_confidence,100,1.0,0.16199999999999998,0.057999999999999996,
ELI5,logprob_mean_seq,100,0.6178861788617886,,,
ELI5,p_min_seq,100,0.5765582655826558,0.5238791126576078,0.4209476718270001,
ELI5,perplexity_seq,100,0.6178861788617886,,,
ELI5,prob_geo_mean_seq,100,0.6178861788617886,0.06278994245315758,0.147329297875876,
ELI5,prob_joint_seq,100,0.559620596205962,0.8199989438514034,0.8199982681473997,
ELI5,selfcheck,100,0.6117886178861789,,,
ELI5,semantic_entropy,100,0.5724932249322494,,,
ELI5,wepr,100,0.5887533875338753,0.6869642759144017,0.6244121792396473,
GSM8K,answer_logprob_mean_seq,300,0.7254677357770141,,,
GSM8K,answer_n_tokens,300,0.49637266132111496,,,
GSM8K,answer_p_min_seq,300,0.7353951890034364,0.06319384397074165,0.0548909540361268,
GSM8K,answer_perplexity_seq,300,0.7254677357770141,,,
GSM8K,answer_prob_geo_mean_seq,300,0.7254677357770141,0.03200169155796308,0.031343929466298305,
GSM8K,answer_prob_joint_seq,300,0.7285223367697595,0.06700705751387344,0.05785910200390352,
GSM8K,epr,300,0.8136693394425353,,,
GSM8K,logprob_mean_seq,300,0.8037418862161131,,,
GSM8K,p_min_seq,300,0.7815960290187094,0.8620605041579893,0.7765324028606074,
GSM8K,perplexity_seq,300,0.8037418862161131,,,
GSM8K,prob_geo_mean_seq,300,0.8037418862161131,0.08237679900110836,0.03140848358987798,
GSM8K,prob_joint_seq,300,0.854524627720504,0.9691187963428013,0.9682602048761703,
GSM8K,semantic_entropy,300,0.7655593738067965,,,
GSM8K,wepr,300,0.9224894998090875,0.24498566964262766,0.08989059712533258,
MMLU,max_softmax,500,0.5707877768432856,0.09887218669466481,0.19373538238911947,
MMLU,mmlu_entropy,500,0.5618382178516745,,,
