question,answer,answer_numeric,is_integer_like,decimals,answer_type,decade,century,q_len_chars,q_len_words,q_wh_type,outlier_iqr,zscore,outlier_z
When did the founder of Jehovah's Witnesses say the world would end?,1914.0,1914.0,True,0,year,1910.0,20.0,68,12,year,False,0.0898662944192214,False
In what year were US ground troops first dispatched to Vietnam?,1965.0,1965.0,True,0,year,1960.0,20.0,63,11,year,False,0.10079285842910285,False
In which year was CNN founded?,1980.0,1980.0,True,0,year,1980.0,20.0,30,6,which,False,0.1040065537261268,False
In which year was Bloody Sunday in Londonderry?,1972.0,1972.0,True,0,year,1970.0,20.0,47,8,which,False,0.10229258290104735,False
In the 90s how many points have been awarded for finishing first in a Grand Prix?,10.0,10.0,True,0,age,,,81,16,quantity,False,-0.3180587619496856,False
How many years did Robinson Crusoe spend shipwrecked on his island?,24.0,24.0,True,0,age,,,67,11,age,False,-0.31505931300579654,False
In which year did Alcock and Brown make their Atlantic crossing?,1919.0,1919.0,True,0,year,1910.0,20.0,64,11,which,False,0.09093752618489606,False
How old would Rocky Marciano have been had he lived to the end of the 20th century?,76.0,76.0,True,0,age,,,83,17,age,False,-0.3039185026427802,False
How old would James Dean have been had he lived to the end of the 20th century?,68.0,68.0,True,0,age,,,79,17,age,False,-0.3056324734678596,False
In square miles how big is lake Michigan?,22300.0,22300.0,True,0,large_number,,,41,8,area,True,4.457492449427907,True
In what year were women first admitted to Harvard?,1969.0,1969.0,True,0,year,1960.0,20.0,50,9,year,False,0.10164984384164256,False
How old was Ronald Reagan when he became US President?,69.0,69.0,True,0,age,,,54,10,age,False,-0.3054182271147247,False
When was the Scrabble World championship first held?,1991.0,1991.0,True,0,year,1990.0,20.0,52,8,year,False,0.10636326361061103,False
What year was the centenary of Arkansas joining the Union?,1936.0,1936.0,True,0,year,1930.0,20.0,58,10,year,False,0.09457971418818988,False
In which year was the talkie The Jazz Singer released?,1927.0,1927.0,True,0,year,1920.0,20.0,54,10,which,False,0.0926514970099755,False
When she died how old was Karen Carpenter?,32.0,32.0,True,0,age,,,42,8,age,False,-0.31334534218071713,False
In what year was Oliver Stone born?,1946.0,1946.0,True,0,year,1940.0,20.0,35,7,year,False,0.09672217771953917,False
In which year was Nigel Mansell Indy Car Champion?,1993.0,1993.0,True,0,year,1990.0,20.0,50,9,which,False,0.1067917563168809,False
Which year was the first after 1927 that the USA lost the Ryder Cup on home soil?,1987.0,1987.0,True,0,year,1980.0,20.0,81,17,which,False,0.10550627819807132,False
In what year was the first performance of Copland's ballet Rodeo?,1942.0,1942.0,True,0,year,1940.0,20.0,65,11,year,False,0.09586519230699946,False
How many 'victories' did The Red Baron claim in aerial dogfights?,80.0,80.0,True,0,age,,,65,11,quantity,False,-0.30306151723024044,False
In what year did Saddam Hussein become President of Iraq?,1979.0,1979.0,True,0,year,1970.0,20.0,57,10,year,False,0.10379230737299187,False
How old was George Gershwin when he died?,38.0,38.0,True,0,age,,,41,8,age,False,-0.3120598640619075,False
According to the series when was the Cheers bar founded?,1895.0,1895.0,True,0,year,1890.0,19.0,56,10,when,False,0.08579561370965774,False
In which year did Tanganyika and Zanzibar merge to form Tanzania?,1964.0,1964.0,True,0,year,1960.0,20.0,65,11,which,False,0.10057861207596792,False
